FIPS,Scenario,annprcp,tmean_Jan,tmean_Apr,tmean_Jul,tmean_Oct,tminavg,tmaxavg,annualGDD,bio5,bio6
48223,RCP45,1157.937948945064,48.654871645143864,68.47317297432434,85.57398892585464,69.06599984334561,43.35956484921815,93.7410363280651,6437.750551644795,94.93214446486168,39.286646948370986
48223,RCP85,1204.64284176723,48.657816607909254,68.98168472406302,85.73677031594386,69.82242406791185,44.93057471657746,93.53447093542249,6732.413333841099,95.39481153622188,40.72725962123926
36001,Current,928.4389067235962,24.4242996515334,47.114300275925054,71.67261947435934,50.50717022883027,20.604946937476054,77.48642128642173,2387.815866552797,79.79703355834685,17.030170817206077
36001,RCP45,930.0788864302883,29.52597818683682,52.363403431135026,75.98555665640929,52.879105382244546,25.17548602543698,82.24417977675726,3075.9770328194195,85.01882303523075,22.76955808061818
36001,RCP85,953.5553367929788,29.13244340225831,52.06355769919121,76.5971819865558,53.970906878302415,25.50018114885583,82.41289409166592,3155.194219982265,85.23168955691399,22.29244340225831
48225,Current,1103.96690035069,49.24622439395284,67.26755285815467,83.21841210706037,68.38587856301136,44.81585107836866,91.0101439881573,6236.094418276104,92.07972380963928,40.69411057093748
48225,RCP45,1166.8190215902353,53.0492011553101,71.27255287860739,85.3455116952577,71.91763012444964,47.18789778259142,93.76603804364672,7290.148319766958,94.61225080779724,43.515662261218296
48225,RCP85,1185.2397544017467,53.39209331179453,71.80323195769923,85.92336544173388,72.35700615525583,48.77922103987107,93.99109461275756,7607.394388176325,95.23524548861741,45.20463621092689
39111,Current,1044.751505107071,30.518128172462557,52.19733139713397,73.27608697144842,53.67530492487327,27.439514539156974,79.89966357631229,2901.7421932659804,81.45927847589363,23.610529790526662
39111,RCP45,1099.5393642913543,35.495271083088745,57.15938181083972,77.60665671204069,56.93088623021683,31.386921267981688,84.74793287218677,3731.5661690092834,86.56835087930216,28.501038206994927
39111,RCP85,1121.568426114951,34.844413162250056,56.95452407290167,77.96533550143458,57.38665693746152,31.57508620087912,84.91880338887798,3765.816643953163,86.82167549431426,28.184064944429636
20165,Current,581.633940756692,29.938236885057723,54.247294228022575,80.22503880416168,56.26181100386971,25.168879829851907,88.27134065071289,3805.8091224135524,90.88971611429248,20.08844299910902
20165,RCP45,549.8178636932864,34.40918541334554,58.195097245571105,85.34488130019213,58.759116871253894,28.066949038422994,93.81578704792415,4633.578661894518,97.03810256805389,24.161037967457705
20165,RCP85,600.817182776967,32.457760124197215,57.56646871382024,84.4366377088899,59.49698260733226,29.08094527449662,92.95568951923879,4594.836605540962,95.70130501210396,22.74134484819753
18107,Current,1018.7090898655007,27.40176821046453,52.38261822421795,75.79587197921165,54.09966849452929,24.919405755809336,82.78115825964736,3210.155227239365,84.62864179995796,20.10915493488733
18107,RCP45,1047.1405041385863,32.81474429445977,57.11795811538618,79.93228451253306,57.518977206536675,28.94625380658062,87.45784164614767,3997.9010212196986,89.60035335282723,25.435697971380474
18107,RCP85,1037.0971011850847,32.273985525098894,56.84462397708292,80.9441986927591,58.13100948570128,29.139930311606783,88.36136185027208,4096.902041816884,90.80887420163624,25.108482788815714
20187,Current,410.85973558780483,32.52683321294935,55.140857891950716,79.713467256936,56.75266416859438,26.311436214335313,88.98673168507388,3835.608327260883,91.2453000164539,21.58442339209763
20187,RCP45,377.5746579898658,36.799609074451574,58.8290810468262,84.46901638949616,59.158691346085746,28.931653867478676,94.13911785125366,4622.911389684274,96.99586032716483,25.513998414444316
20187,RCP85,422.14097187985647,34.95119357025962,58.64551656034609,83.13839595611863,59.648276579518395,29.93890796999993,93.13226015148936,4578.334328549505,94.87396687911874,24.01457139209196
21129,Current,1189.8006929330384,35.32352352674035,56.62255528196217,76.02003027375933,56.937233962390586,32.2845114179527,82.62187475646311,3604.7041592436995,83.81148887477302,28.241186729207243
21129,RCP45,1301.0698475128759,39.82124215656713,61.714264893561364,79.97740824714212,60.59918626226265,35.99939247347413,86.88148065315569,4438.504913033255,88.23744770357645,32.43065783353254
21129,RCP85,1298.0569588601838,39.674616355768414,61.72758175132517,80.35486041452744,60.909745345407565,36.30530591886722,87.55336978552025,4556.882098261136,88.80390219487435,32.83429555973185
27071,Current,677.1141100982675,7.4504340613153985,40.22679839076766,67.38782304481462,42.394887196664534,6.004959986586922,74.41898771301042,1616.5545930169392,76.83850599109188,-0.6680530403908213
27071,RCP45,673.3109695143088,13.3752361914287,44.619162281253125,72.20076461963944,45.206264867672644,10.794383481151204,79.31069693955472,2174.4250793715005,82.44888311265667,6.156854496226345
27071,RCP85,669.3467893933762,13.146359962855621,44.883457802992396,73.56945787213651,45.986619809509094,12.891649343883701,80.13543789567599,2308.1169923982766,83.80902791161681,5.9921388247193645
48029,Current,774.981783750587,51.92719315545636,69.8743617927842,83.82160204446353,70.96583295981189,46.55339709928705,92.48005551950497,6943.636666981562,93.6732514085981,42.34698802145697
48029,RCP45,836.4457444282233,55.578980128438644,73.42099902971236,86.04808111007502,73.87269611224863,48.714691503566534,95.19979517570863,7931.4270620228435,96.49492820185304,45.12494345511072
48029,RCP85,828.4565913022564,55.5237343413092,74.26210146228671,86.65038922496667,74.42709238026427,49.968501618301204,95.50778440685315,8234.355914452452,96.53884342660679,45.98775612102658
08013,Current,447.9661691103614,23.597680249196728,39.28313237583078,64.06218820341546,42.68359228612204,15.195380224199834,75.01493434908333,1299.7340121117043,77.72379604572886,11.959874048520883
08013,RCP45,436.6861248438905,28.165949050035515,42.26703626159335,68.454491740896,45.12379207813707,18.077675416670342,79.48092531120506,1785.5295784545326,82.7024426515391,16.221936847462292
08013,RCP85,474.4417129547599,27.03591647059775,42.143463989350984,68.01532175941509,45.8863032124328,20.17696843343669,79.24677369895345,1822.1464701579225,81.72113545221623,15.506310059528762
47089,Current,1214.5577834162966,38.213010125219455,57.84207880110023,76.49379393954005,57.781128140367144,34.65083804711631,83.05704894772408,3774.815678483288,84.10049467771348,30.678190592706354
47089,RCP45,1319.398430139232,42.48110428915686,62.81095775974438,80.32872267440621,61.647698498575814,38.13968565735126,87.04222197927507,4689.256662316315,88.2488999235611,34.38909781957099
47089,RCP85,1345.5810129940023,42.6505425027385,63.140420414833606,80.57740398869468,61.7639315162957,38.63661640963575,87.71669659327769,4817.245679775628,88.74681429044128,35.28051125572617
40097,Current,1071.1562313570296,37.28688357061674,60.49459574690939,82.40881286778023,61.47977620116446,34.114344822585444,89.6405187204148,4702.495158885212,91.48370327943341,28.76941039682207
40097,RCP45,1101.279693186369,41.73570764910978,64.80793087565722,85.99231852609398,64.56708970744533,37.01147187866543,94.100611898574,5494.188035866922,96.0708873122972,32.526036358992
40097,RCP85,1112.1111379328688,40.89950847601321,64.69720223093258,86.2686956472201,65.68109581161968,38.0941179061321,94.19826276337525,5762.873354539368,95.78032631853034,32.68995040664771
27165,Current,722.29377177795,15.44156913797941,46.7292045631886,73.48950711921356,48.729722938388605,14.204209757694382,80.47752343624394,2513.869489119632,82.97121796041839,7.672436926962341
27165,RCP45,702.5112109346102,21.565515320022993,51.01809960962773,78.5219822929202,51.70961537282192,19.368701709958447,85.58552875009511,3226.044801578247,88.4546277764675,14.36551532002299
27165,RCP85,725.933021977484,20.83246044786629,50.449467087740544,79.57442410003517,52.570851004059286,20.730287507401655,86.27609255886229,3302.3435750748913,89.61382070628704,13.812460447866291
16013,Current,376.8524339441541,21.78488986924927,41.287894658969954,68.27196282918422,44.3988229917614,18.86097022953706,77.76594826217259,1629.943296318123,81.82074211897503,14.170191016565997
